Central Pollution Control Board,,,,
LIST OF CAAQMS STATIONS              Date:14-04-2026,,,,
,,,,
S.No.,State,City,Station Name,Status
1,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",Inactive
2,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",Live
3,,Anantapur,"Gulzarpet, Anantapur - APPCB",Live
4,,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",Live
5,,Eluru,"District Court, Eluru - APPCB",Live
6,,Guntur,"Rajendra Nagar North, Guntur - APPCB",Live
7,,Kadapa,"Yerramukkapalli, Kadapa - APPCB",Live
8,,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",Live
9,,Nellore,"Ambedkar Nagar, Nellore - APPCB ",Live
10,,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Live
11,,Tirumala,"Toll Gate, Tirumala - APPCB",Live
12,,Tirupati,"Vaikuntapuram, Tirupati - APPCB",Live
13,,Vijayawada,"HB Colony, Vijayawada - APPCB",Live
14,,,"Kanuru, Vijayawada - APPCB",Live
15,,,"PWD Grounds, Vijayawada - APPCB",Inactive
16,,,"Rajiv Gandhi Park, Vijayawada - APPCB",Live
17,,,"Rajiv Nagar, Vijayawada - APPCB",Live
18,,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",Live
19,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",Live
20,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",Live
21,,Guwahati,"IITG, Guwahati - PCBA",Delay
22,,,"LGBI Airport, Guwahati - PCBA",Live
23,,,"Pan Bazaar, Guwahati - PCBA",Inactive
24,,,"Railway Colony, Guwahati - PCBA",Live
25,,Nagaon,"Christianpatty, Nagaon - PCBA",Live
26,,Nalbari,"Bata Chowk, Nalbari - PCBA",Live
27,,Silchar,"Tarapur, Silchar - PCBA",Live
28,,Sivasagar,"Girls College, Sivasagar - PCBA",Live
29,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",Live
30,,Arrah,"New DM Office, Arrah - BSPCB",Live
31,,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",Live
32,,Begusarai,"Lohiyanagar, Begusarai - BSPCB",Live
33,,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",Live
34,,,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",Live
35,,,"Mayaganj, Bhagalpur - BSPCB",Live
36,,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",Live
37,,Buxar,"Charitra Van, Buxar - BSPCB",Live
38,,Chhapra,"Darshan Nagar, Chhapra - BSPCB",Live
39,,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",Inactive
40,,,"Collectorate, Gaya - BSPCB",Live
41,,,"Kareemganj, Gaya - BSPCB",Live
42,,,"SFTI Kusdihra, Gaya - BSPCB",Live
43,,Hajipur,"Industrial Area, Hajipur - BSPCB",Delay
44,,Katihar,"Mirchaibari, Katihar - BSPCB",Live
45,,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",Live
46,,Manguraha,"Forest Rest House, Manguraha - BSPCB",Live
47,,Motihari,"Gandak Colony, Motihari - BSPCB",Live
48,,Munger,"Town Hall, Munger - BSPCB",Live
49,,,"Buddha Colony, Muzaffarpur - BSPCB",Live
50,,,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",Live
51,,,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Live
52,,Muzaffarpur,"DRM Office Danapur, Patna - BSPCB",Live
53,,,"Govt. High School Shikarpur, Patna - BSPCB",Live
54,,,"IGSC Planetarium Complex, Patna - BSPCB",Live
55,,Patna,"Muradpur, Patna - BSPCB",Live
56,,,"Rajbansi Nagar, Patna - BSPCB",Live
57,,,"Samanpura, Patna - BSPCB",Live
58,,Purnia,"Mariam Nagar, Purnia - BSPCB",Live
59,,Rajgir,"Dangi Tola, Rajgir - BSPCB",Live
60,,Saharsa,"Police Line, Saharsa - BSPCB",Live
61,,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",Live
62,,Sasaram,"Dada Peer, Sasaram - BSPCB",Live
63,,Siwan,"Chitragupta Nagar, Siwan - BSPCB",Delay
64,Chandigarh,,"Sector 22, Chandigarh - CPCC",Live
65,,,"Sector-25, Chandigarh - CPCC",Live
66,,,"Sector-53, Chandigarh - CPCC",Live
67,Chhattisgarh,Chandigarh,"32Bungalows, Bhilai - CECB",Live
68,,,"Civic Center, Bhilai - Bhilai Steel Plant",Live
69,,,"Hathkhoj, Bhilai - CECB",Live
70,,Bilaspur,"Mangala, Bilaspur - NTPC",Live
71,,Chhal,"Nawapara SECL Colony, Chhal - CECB",Delay
72,,,"Rampur, Korba - CECB",Live
73,,,"Urja Nagar, Korba - CECB",Live
74,,Kunjemura,"OP Jindal School, Kunjemura - CECB",Live
75,,Milupara,"Govt. Higher Secondary School, Milupara - CECB",Delay
76,,,"AIIMS, Raipur - CECB",Live
77,,,"Bhatagaon New ISBT, Raipur - CECB",Live
78,,,"Krishak Nagar, Raipur - CECB",Live
79,,Raipur,"Siltara Phase-II, Raipur - CECB",Live
80,,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",Live
81,Delhi,,"Alipur, Delhi - DPCC",Live
82,,,"Anand Vihar, Delhi - DPCC",Live
83,,,"Ashok Vihar, Delhi - DPCC",Live
84,,Delhi,"Aya Nagar, Delhi - IMD",Live
85,,,"Bawana, Delhi - DPCC",Live
86,,,"Burari Crossing, Delhi - IMD",Live
87,,,"CRRI Mathura Road, Delhi - IMD",Live
88,,,"Cantonment Area, Delhi - DPCC ",Live
89,,,"Chandni Chowk, Delhi - IITM",Delay
90,,,"Commonwealth Sports Complex, Delhi - DPCC",Live
91,,,"DTU, Delhi - CPCB",Live
92,,,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Live
93,,,"Dwarka-Sector 8, Delhi - DPCC ",Live
94,,,"IGI Airport (T3), Delhi - IMD",Live
95,,,"IGNOU_Maidan Garhi, Delhi - DPCC",Live
96,,,"IHBAS, Dilshad Garden, Delhi - CPCB",Live
97,,,"IIT Delhi, Delhi - IITM",Live
98,,,"ITO, Delhi - CPCB",Live
99,,,"JNU, Delhi - DPCC",Live
100,,,"Jahangirpuri, Delhi - DPCC",Live
101,,,"Jawaharlal Nehru Stadium, Delhi - DPCC",Live
102,,,"Lodhi Road, Delhi - IITM",Inactive
103,,,"Lodhi Road, Delhi - IMD",Live
104,,,"Major Dhyan Chand National Stadium, Delhi - DPCC",Live
105,,,"Mandir Marg, Delhi - DPCC",Live
106,,,"Mundka, Delhi - DPCC",Live
107,,,"NSIT Dwarka, Delhi - CPCB",Live
108,,,"NSUT Jaffarpur, Delhi - DPCC",Live
109,,,"Najafgarh, Delhi - DPCC",Live
110,,,"Narela, Delhi - DPCC",Live
111,,,"Nehru Nagar, Delhi - DPCC",Live
112,,,"New Moti Bagh, Delhi - MHUA",Live
113,,,"North Campus, DU, Delhi - IMD",Live
114,,,"Okhla Phase-2, Delhi - DPCC",Live
115,,,"Patparganj, Delhi - DPCC",Live
116,,,"Punjabi Bagh, Delhi - DPCC",Live
117,,,"Pusa, Delhi - DPCC",Live
118,,,"Pusa, Delhi - IMD",Live
119,,,"R K Puram, Delhi - DPCC",Live
120,,,"Rohini, Delhi - DPCC",Live
121,,,"Shadipur, Delhi - CPCB",Live
122,,,"Sirifort, Delhi - CPCB",Live
123,,,"Sonia Vihar, Delhi - DPCC",Live
124,,,"Sri Aurobindo Marg, Delhi - DPCC",Live
125,,,"Talkatora Garden, Delhi - DPCC",Live
126,,,"Vivek Vihar, Delhi - DPCC",Live
127,,,"Wazirpur, Delhi - DPCC",Live
128,Gujarat,,"Chandkheda, Ahmedabad - IITM",Live
